ROI	N51211	N51221	N51231	N51383	N51386	N51404	N51406	N51193	N51136	N51201	N51234	N51241	N51252	N51282	N51390	N51392	N51393	N51133	N51388	N51124	N51130	N51131	N51164	N51182	N51151	N51622	N51620	N51617
81	5.93409703	5.74010378	5.74808978	5.84874665	5.91612853	5.73561166	5.63112816	5.84658378	5.39670579	5.09357054	5.16095242	5.41317691	5.90132115	5.79617216	5.33015579	5.33797541	5.52797566	5.46242391	5.06462129	5.67288828	5.58703878	5.67055903	5.8983264	6.22808165	6.07751228	5.82345766	5.81364153	5.89150503
82	3.15846295	2.95964483	3.19240345	3.20521432	2.97495133	3.12385695	3.02203545	3.2413177	3.13383945	2.95531908	3.15363807	3.3597767	3.26976782	3.06845408	2.9571492	3.10139632	3.3251707	3.13134382	3.05847158	3.34862957	3.36094132	2.97162383	3.04649258	2.8207217	3.12851545	3.02453108	3.03817383	2.9451702
83	0.83686624	0.83952824	0.81440561	0.80891524	0.81174361	0.83037761	0.83952824	0.84451949	0.78246161	0.71175224	0.69345099	0.75717261	0.75783811	0.79943186	0.76665599	0.78761924	0.82971211	0.79410786	0.79244411	0.74635824	0.76715511	0.83154224	0.82987849	0.76765424	0.82538636	0.82555274	0.80575411	0.83453699
84	0.08468487	0.08884425	0.09233812	0.10265337	0.09932587	0.09466737	0.09133987	0.09549925	0.08501762	0.08618225	0.08268837	0.08967612	0.0885115	0.09366912	0.090508	0.086515	0.086515	0.0831875	0.09034162	0.08268837	0.09633112	0.09633112	0.09832762	0.08817875	0.09799487	0.10648	0.09300362	0.094501
85	2.09931972	2.06471372	2.05190284	2.02112347	2.09100097	2.06121984	2.04741072	2.18034434	2.00348772	1.96422322	1.97037909	2.06671022	2.12910084	2.16354046	2.09432847	1.98967859	2.09233197	2.00914447	2.09283109	2.02628109	2.03044047	1.95989747	2.11845284	1.99367159	2.02711297	2.08301497	2.09150009	2.10164897
86	0.16737325	0.17219812	0.15722437	0.153065	0.16870425	0.17070075	0.17602475	0.17303	0.14657637	0.17136625	0.16387937	0.151734	0.16870425	0.15722437	0.17286362	0.1497375	0.15855537	0.14790737	0.167706	0.165044	0.1603855	0.17735575	0.16338025	0.1816815	0.15855537	0.15672525	0.15672525	0.17086712
87	0.23508787	0.21129625	0.22111237	0.231594	0.2256045	0.23442237	0.224939	0.24789875	0.21595475	0.242242	0.23774987	0.2295975	0.24274112	0.23508787	0.21013162	0.22310887	0.24207562	0.20530675	0.20081462	0.23458875	0.22061325	0.22377437	0.23591975	0.21196175	0.22843287	0.23708437	0.2176185	0.22111237
88	0.30180425	0.29098987	0.32193562	0.31528062	0.29132262	0.30979024	0.2815065	0.298144	0.29431737	0.25571837	0.3014715	0.31461512	0.30330162	0.32526312	0.30463262	0.300806	0.30912474	0.2921545	0.28233837	0.30779374	0.31827537	0.2815065	0.29930862	0.27451875	0.30845924	0.30130512	0.296813	0.29132262
89	3.77687881	3.96122231	3.91480369	4.02278106	3.76123956	4.10164281	4.10014543	4.17384956	3.68537257	3.52981194	3.72313969	3.79268444	3.95756206	4.18000543	3.85873531	4.00714181	4.04757093	4.02877056	4.03975131	3.93110844	3.74343744	3.27758745	4.14406843	3.74842869	4.10264106	4.19631018	4.10347293	3.76207144
90	0.17619112	0.17652387	0.19149762	0.19598975	0.19249587	0.1936605	0.1776885	0.18733825	0.19382687	0.167706	0.1776885	0.16421212	0.18284612	0.17935225	0.18084962	0.17669025	0.1843435	0.19199675	0.18717187	0.14607725	0.16986887	0.18667275	0.19415962	0.18750462	0.17253087	0.18134875	0.179685	0.18783737
91	23.39598487	22.93945188	23.20032787	21.51844303	22.10957339	22.10973977	22.08445077	24.85010235	25.76033996	24.97072422	23.86682611	23.120967	25.96065545	24.86324597	25.03893797	22.66077376	23.66551237	23.98644974	23.158235	25.40912234	25.99526145	22.26762964	23.50562599	23.15124725	22.27678026	22.26713051	23.42876074	22.80901388
92	0.27135762	0.28915975	0.28433487	0.303468	0.3054645	0.30529812	0.2894925	0.31378324	0.28516675	0.25788125	0.264869	0.2309285	0.2615415	0.26803012	0.26669912	0.275517	0.28267112	0.26387075	0.26653275	0.26054325	0.27917725	0.29065712	0.28699687	0.29897587	0.31611249	0.29182175	0.27901087	0.28050825
93	0.27252225	0.25588475	0.2615415	0.2841685	0.29298637	0.26653275	0.25987775	0.32992162	0.24540312	0.24107737	0.26303887	0.21462375	0.26070962	0.25721575	0.22993025	0.2469005	0.24074462	0.23508787	0.25322275	0.25006162	0.24723325	0.26337162	0.25921225	0.274186	0.31045574	0.2681965	0.24307387	0.24440487
94	0.05606837	0.05573562	0.0578985	0.059895	0.05806487	0.05806487	0.059895	0.06288975	0.05756575	0.05290725	0.0565675	0.04575312	0.04941337	0.05939587	0.05024525	0.05773212	0.05507012	0.04575312	0.05873037	0.05706662	0.04891425	0.06006137	0.05906312	0.05473737	0.06887925	0.05473737	0.0525745	0.05573562
95	0.53306549	0.53456287	0.54670824	0.54620912	0.56634049	0.56700599	0.54620912	0.58713737	0.53772399	0.50794287	0.53023712	0.50062237	0.48914249	0.55718987	0.51376599	0.54937024	0.55436149	0.52923887	0.52225112	0.55535974	0.53539474	0.51542974	0.55053487	0.51875724	0.57299549	0.53722487	0.52541224	0.52175199
96	0.103818	0.09500012	0.10398437	0.11230312	0.10930837	0.10897562	0.10797737	0.10664637	0.10348525	0.09233812	0.09866037	0.099825	0.12012275	0.10531537	0.10664637	0.10747825	0.10098962	0.1124695	0.109142	0.10681275	0.1058145	0.10015775	0.10348525	0.10232062	0.10764462	0.11795987	0.09150625	0.10331887
97	0.20597225	0.20880062	0.2016465	0.22260975	0.214291	0.20996525	0.20214562	0.2202805	0.21711937	0.2029775	0.2056395	0.218284	0.22111237	0.2282665	0.20730325	0.1909985	0.219615	0.19399325	0.20181287	0.20214562	0.22277612	0.2069705	0.2003155	0.20048187	0.22327525	0.21795125	0.22061325	0.21662025
98	0.27535062	0.26703187	0.2721895	0.27501787	0.30113875	0.29381825	0.28433487	0.275517	0.26170787	0.25388825	0.27035937	0.32060462	0.31028937	0.284834	0.27385325	0.25804762	0.28250475	0.272855	0.26736462	0.23309137	0.28965887	0.26736462	0.26453625	0.26919475	0.27584975	0.30779374	0.28516675	0.27135762
99	2.55618546	2.46501196	2.56966183	2.60526608	2.51459171	2.70525746	2.51143058	2.64652708	2.53222746	2.29980159	2.35220971	2.46950408	2.52756896	2.50294546	2.45852334	2.55102783	2.58862858	2.64037121	2.56084396	2.50594021	2.51126421	2.48514333	2.59578271	2.60959183	2.68828721	2.80824358	2.69460946	2.66016983
100	1.04466861	0.99059673	1.03102586	1.04017648	1.02287348	1.05947598	1.00191023	1.08626236	1.00041286	0.92471223	0.97828498	1.18109611	1.05564936	1.06380173	1.06313623	0.98161248	0.98660373	1.05282098	1.02104336	1.00457223	1.04500136	1.00540411	1.02836386	1.05781223	1.03102586	1.07894186	1.09740948	1.05148998
101	0.13459737	0.11413325	0.11330137	0.12145375	0.13809125	0.13027162	0.13393187	0.12494762	0.11479875	0.09999137	0.1084765	0.14291612	0.12361662	0.11163762	0.10464987	0.10880925	0.111804	0.11280225	0.11729437	0.113135	0.13226812	0.11879175	0.11496512	0.12494762	0.11862537	0.13692662	0.1377585	0.134431
102	0.04974612	0.04292475	0.05290725	0.04475487	0.05407187	0.04475487	0.04359025	0.049247	0.04741687	0.04625225	0.04408937	0.03876537	0.05357275	0.04758325	0.04691775	0.04225925	0.0525745	0.0485815	0.04309112	0.05140987	0.04375662	0.05324	0.04542037	0.050578	0.05007887	0.0485815	0.04375662	0.050578
103	0.13526287	0.130438	0.14890562	0.14923837	0.14075325	0.14191787	0.13326637	0.129107	0.11879175	0.103818	0.11014025	0.13393187	0.14457987	0.11879175	0.11097212	0.12345025	0.13725937	0.13592837	0.12478125	0.13293362	0.1337655	0.12927337	0.1404205	0.14524537	0.15739075	0.17153262	0.15489512	0.145079
104	3.1860812	3.10339282	3.12784995	3.1687782	3.24181682	3.27143157	3.16528432	3.13517045	2.99807745	2.81839245	2.91339258	3.13367307	3.23632645	3.15779745	2.99741195	2.96796358	3.09274482	3.1687782	3.03467995	3.06046808	3.14232457	3.19905845	3.20454882	3.1042247	3.3697592	3.34214095	3.2566242	3.32799907
105	0.49929137	0.46285524	0.50394987	0.50345074	0.50661187	0.49529837	0.50761012	0.50910749	0.41277637	0.40628774	0.44372212	0.52657687	0.48747874	0.48398487	0.46684824	0.45636662	0.43989549	0.45303912	0.47283774	0.49546474	0.44455399	0.46584999	0.49296912	0.43756624	0.52441399	0.53805674	0.48681324	0.49180449
106	0.35587612	0.34605999	0.33873949	0.33075349	0.35188312	0.37251362	0.36951887	0.42325799	0.36635774	0.32276749	0.33091987	0.31095487	0.35770624	0.34439624	0.36635774	0.34356437	0.36585862	0.37018437	0.37168174	0.32942249	0.35953637	0.34356437	0.32393212	0.33624387	0.33574474	0.38049962	0.33441374	0.37634024
107	0.89193636	0.87945824	0.90890661	0.91822361	0.89742674	0.94617461	0.89027261	0.90291711	0.86531636	0.81074536	0.84884524	0.96331123	0.90790836	0.88395036	0.83570161	0.85533386	0.86248799	0.85599936	0.85616574	0.87014124	0.85899411	0.90757561	0.89426561	0.88794336	0.89742674	0.97761948	0.93702398	0.93552661
108	0.01830125	0.01580562	0.01480737	0.0166375	0.01746937	0.0192995	0.01913312	0.01880037	0.015972	0.01497375	0.01514012	0.0179685	0.01630475	0.01514012	0.01697025	0.0179685	0.02046412	0.01563925	0.01514012	0.01630475	0.01963225	0.01647112	0.01380912	0.01297725	0.01447462	0.017303	0.01647112	0.014641
109	0.36303024	0.30246975	0.35587612	0.34472899	0.34938749	0.35105124	0.31311774	0.43423874	0.36619137	0.33291637	0.288827	0.37950137	0.38133149	0.32243474	0.36369574	0.32443124	0.34922112	0.33641024	0.32359937	0.38016687	0.34888837	0.33441374	0.35936999	0.36935249	0.32908974	0.32659412	0.33391462	0.34339799
110	0.64037736	0.63322324	0.66683099	0.70509724	0.67032486	0.70493086	0.70326711	0.77913411	0.61775036	0.60427399	0.60976437	0.57582387	0.55968549	0.61808311	0.62839836	0.61092899	0.62590274	0.63638436	0.67548249	0.60078012	0.66633186	0.65019349	0.68712874	0.65185724	0.65252274	0.67448424	0.68296936	0.68446674
111	0.33873949	0.34805649	0.34306524	0.32659412	0.34156787	0.34239974	0.32825787	0.30496537	0.33125262	0.31245224	0.34223337	0.33408099	0.34056962	0.34323162	0.32725962	0.31577974	0.31927362	0.32892337	0.33441374	0.32842424	0.36502674	0.34506174	0.33707574	0.34389712	0.33541199	0.37251362	0.32326662	0.31444874
112	0.93585936	0.93303098	1.00906436	0.95116586	0.95116586	0.99542161	0.93452836	1.11404698	1.01505386	0.90374899	0.91140224	0.91273324	0.98377536	0.99891548	0.93852136	0.98909936	0.96497498	0.95149861	1.00141111	1.01355648	0.94550911	0.95682261	0.97013261	0.96181386	0.93818861	0.96913436	0.95765448	0.99159498
113	1.55078135	1.51218235	1.49970423	1.45877598	1.40986173	1.5244941	1.51634173	1.54495822	1.50419635	1.32767248	1.41285648	1.2649491	1.5211666	1.49554485	1.34331173	1.39571985	1.45162185	1.39422248	1.46825935	1.46177073	1.3534606	1.4945466	1.5338111	1.51634173	1.47441523	1.51334698	1.55011585	1.54096522
114	2.10763847	2.04474872	1.93743684	2.14623747	1.92678884	2.08384684	2.09100097	2.32159671	1.84227035	1.85657859	2.03326884	1.70717385	1.79019497	1.99200784	1.94459097	2.08734072	2.18600109	1.90981859	2.09882059	2.01879422	1.89917059	1.7886976	2.14274359	1.91730547	2.13209559	2.22027434	2.25105371	2.23358434
115	1.35046585	1.3521296	1.4193451	1.3641086	1.33865323	1.3834081	1.34863573	1.47940648	1.27742723	1.26045698	1.28707698	1.35163048	1.36510685	1.36394223	1.28042198	1.28208573	1.32234848	1.32800523	1.32634148	1.29406473	1.3348266	1.31369698	1.35246235	1.2536356	1.3800806	1.41651673	1.35978285	1.32334673
